timestamp,uav_id,pos_x_m,pos_y_m,pos_z_m,vel_x_ms,vel_y_ms,vel_z_ms,speed_ms,heading_deg,battery_pct,signal_strength_dbm,gps_lat,gps_lon,altitude_m,nearest_uav_distance_m,time_to_collision_s,restricted_zone_proximity_m,flight_zone_type,weather_condition,wind_speed_ms,conflict_label,risk_level
2025-06-21 03:01:47,UAV-5506,2448.92,1395.38,60.22,-0.37,-6.27,-0.21,6.28,266.6,23.0,-76.0,30.280606,120.168374,60.2,251.77,40.02,2097.6,限飞区,晴,8.8,0,中危
2025-06-01 05:44:27,UAV-6574,2778.71,2153.14,384.11,-0.68,3.91,0.59,4.02,99.9,45.5,-69.4,30.179356,120.013035,384.1,123.02,30.55,4611.5,适飞区,多云,8.3,0,中危
2025-06-20 11:36:12,UAV-2139,458.24,2278.98,151.80,3.19,1.75,0.65,3.70,28.7,69.0,-68.1,30.211054,120.062852,151.8,62.12,16.75,3240.2,适飞区,阴,8.0,1,中危
2025-06-15 12:17:59,UAV-4598,6846.14,8428.52,390.24,2.39,0.17,0.25,2.41,4.0,41.8,-73.9,30.163295,120.282873,390.2,418.09,172.65,3277.2,适飞区,多云,13.3,0,低危
2025-06-05 08:08:15,UAV-9830,2627.42,5845.86,449.93,-2.84,2.08,1.19,3.72,143.8,22.7,-87.2,30.132895,120.188234,449.9,314.12,84.32,317.6,适飞区,多云,8.9,0,低危
2025-06-09 17:55:00,UAV-2876,6817.10,5369.70,140.74,-0.09,-1.54,-0.38,1.59,266.6,52.0,-62.8,30.386145,120.262756,140.7,61.14,38.29,893.3,适飞区,多云,13.1,0,中危
2025-06-21 16:38:12,UAV-3504,3739.14,1615.49,477.21,9.89,-5.24,-0.94,11.24,332.1,24.5,-68.2,30.395596,120.242032,477.2,54.74,4.87,2836.8,适飞区,多云,1.3,1,高危
2025-06-03 17:49:08,UAV-3103,6597.51,9468.49,90.91,-3.37,-6.73,-0.24,7.53,243.4,97.0,-34.3,30.326580,120.206960,90.9,249.62,33.11,3358.4,适飞区,晴,6.6,0,中危
2025-06-04 07:14:04,UAV-6539,210.34,5539.22,298.34,7.84,0.35,0.35,7.85,2.6,17.7,-70.2,30.254247,120.083543,298.3,132.88,16.90,3616.8,适飞区,晴,3.6,1,中危
2025-06-14 06:06:06,UAV-8062,3542.98,4111.02,433.28,0.68,6.86,0.49,6.91,84.4,69.9,-86.4,30.318464,120.240178,433.3,23.14,3.34,2681.4,适飞区,阴,6.3,1,高危
2025-06-08 02:28:51,UAV-2604,505.88,9992.82,419.65,11.20,-2.21,0.35,11.43,348.8,56.3,-77.2,30.220312,120.017591,419.7,95.28,8.33,1326.0,限飞区,晴,4.3,1,高危
2025-06-24 17:42:45,UAV-8973,1547.97,2967.08,484.67,-2.45,-5.49,-0.60,6.05,245.9,78.6,-86.6,30.275253,120.150855,484.7,383.08,63.26,4803.9,适飞区,多云,12.8,0,低危
2025-06-03 21:55:15,UAV-7615,1198.87,8902.87,130.65,-5.76,-3.89,-1.16,7.05,214.0,59.4,-33.9,30.161278,120.214858,130.6,54.54,7.73,3358.5,适飞区,晴,6.9,1,高危
